THR-PLT-CRN-0564,"1 T, Monorail",THR,THR-CRN-WA2,Mechanical Equipment,Crane,3,"North Grit Pump gallery, T12 north.",5
THR-GRK-VEH-378297,2017 POLARIS BRUTUS (SR# 4XAB4PD19J8575572) WA2,THR,THR-GRK-GQ-WA2,Mechanical Equipment,Vehicle,3,"Humber Treatement Plant, WA2",5
THR-ACC-NX-750,"A/C Unit, Control Room, Admin Bldg. Roof",THR,THR-ACC-ADM,Mechanical Equipment,HVAC,2,"Administration Bldg., Roof",5
THR-ACC-AHU-725A,"A/C Unit, Electrical Shop, Admin. Bldg. Roof",THR,THR-ACC-ADM,Mechanical Equipment,Air Handling Unit,2,"Electrical Shop, Administration Bldg., Roof South,",5
THR-ACC-NX-651,"A/C Unit, Instrument Shop, Admin Bldg. Roof",THR,THR-ACC-ADM,Mechanical Equipment,HVAC,2,"Administration Bldg., Roof",5
THR-ACC-NX-501,"A/C Unit, Men's Locker Room, Admin. Bldg.",THR,THR-ACC-ADM,Mechanical Equipment,HVAC,2,"Administration Bldg., Men's Locker Room, Roof",5
THR-ACC-NX-502,"A/C Unit, Men's Locker Room, Admin. Bldg.",THR,THR-ACC-ADM,Mechanical Equipment,HVAC,2,"Administration Bldg., Men's Locker Room, Roof",5
THR-ACC-NX-650,"A/C Unit, Nurse Office, Admin Bldg. Roof",THR,THR-ACC-ADM,Mechanical Equipment,HVAC,2,"Administration Bldg., Roof",5
THR-ACC-MAINSUB,ACC Equipment Serving the Main Substation,THR,THR-ACC-WA3,Equipment Location,,1,Main Substation,1
THR-SES-AED-0001,"AED, Automatic External Defibrillator",THR,THR-SES-WA3,Instrumentation Equipment,Safety Equipment,1,"Administration Building, Front Office",2
THR-DIG-AHU-G,"AHU, Digester Gallery Ventilation",THR,THR-DIG-AIT,Equipment Location,Gas Monitoring,1,"Digester AHU, Ground Level",5
THR-DIG-AHU-C,"AHU, Digester Gas Compressor Ventilation",THR,THR-DIG-AIT,Equipment Location,Gas Monitoring,1,"Digester Comprssor Building, N & S",5
THR-ACC-AHU-1100,"AHU, Make-up Air, Grit Building, Fan Room",THR,THR-ACC-GRIT,Mechanical Equipment,Air Handling Unit,2,"Grit Building, Fan Room 1 (South)",5
THR-ACC-AHU-1101,"AHU, Make-up Air, Grit Building, Fan Room",THR,THR-ACC-GRIT,Mechanical Equipment,Air Handling Unit,2,"Grit Building, Fan Room 1 (South)",5
THR-JHSC-ADM,"Admin Bldg., Engine Room, Machine Shop & Surrounding Areas",THR,THR-JHSC-WA3,Equipment Location,Safety Equipment,2,"Humber Treatment Plant, Admin Bldg.",4
THR-PLQ-ADM,"Administration Bldg., Work Area 2",THR,THR-PLQ-WA2,Mechanical Equipment,,3,"Humber Treatment Plant, Work Area 2",5
THR-GQ-ADM,"Administration Bldg., Work Area 3",THR,THR-GQ-WA3,Mechanical Equipment,,3,"Humber Treatment Plant, Work Area 3",5
THR-STRC-ADM,"Administration Bldg., Work Area 3",THR,THR-STRC-WA3,Equipment Location,Building,3,"Humber Treatment Plant, Work Area 3",5
THR-DRN-ADM,"Administration Bldg., Work Area 3",THR,THR-DRN-WA3,Mechanical Equipment,,3,"Humber Treatment Plant, Work Area 3",5
THR-AER,Aeration,THR,THR WORK AREA 4,Process,,2,"Humber Treatment Plant, Work Area 4",1
THR-AER-BL,Aeration Blowers,THR,THR-AER-HPB,Equipment Location,,2,"130 The Queensway, Humber Water Treatment Plant, Administration Building Office",5
THR-AER-DRN,Aeration Tank Drainage & Sump Pump,THR,THR-AER,Equipment Location,,2,"130 The Queensway, Humber Water Treatment Plant, Administration Building Office",5
THR-AER-T,Aeration Tanks,THR,THR-AER,Equipment Location,,2,"130 The Queensway, Humber Water Treatment Plant, Administration Building Office",5
THR-GRK-AER,"Aeration Tanks, Galleries T-14 and T-17",THR,THR-GRK-PRTY-0404,Equipment Location,Grounds,3,"Humber Treatment Plant, Work Area 4",5
THR-AER-HPB,"Aeration, High Pressure Blowers",THR,THR WORK AREA 3,Sub Area,Blower,2,"Humber Treatment Plant, Work Area 3",5
THR-STRC-AER,"Aeration, Work Area 4",THR,THR-STRC-WA4,Equipment Location,Structure,3,"Humber Treatment Plant, Work Area 4",5
THR-GQ-AER,"Aeration, Work Area 4",THR,THR-GQ-WA4,Mechanical Equipment,Grounds,3,"Humber Treatment Plant, Work Area 4",5
THR-DRN-AER,"Aeration, Work Area 4",THR,THR-DRN-WA4,Mechanical Equipment,Drain,3,"Humber Treatment Plant, Work Area 4",5
THR-PLQ-AER,"Aeration, Work Area 4",THR,THR-PLQ-WA4,Mechanical Equipment,Plumbing,3,"Humber Treatment Plant, Work Area 4",5
THR-ACC-AC-0610,"Air Cinditioning, Cooling & Fan Unit, MCC Room",THR,THR-ACC-CU-0610,Electrical Equipment,HVAC,2,"High Pressure Blower Building, MCC Room North East Wall",5
THR-ACC-AC-0320,Air Conditioner (AC)  Unit Mitsubishi,THR,THR-ACC-RSPS,Mechanical Equipment,HVAC,3,RSPS,5
THR-ACC-AC-0310,Air Conditioner (AC)  Unit Mitsubishi,THR,THR-ACC-RSPS,Mechanical Equipment,HVAC,3,RSPS,5
THR-ACC-AC-0330,Air Conditioner (AC)  Unit Mitsubishi,THR,THR-ACC-RSPS,Mechanical Equipment,HVAC,3,RSPS,5
THR-ACC-AC-0200,Air Conditioner (AC)  Unit TRANE,THR,THR-ACC-GRIT,Mechanical Equipment,HVAC,3,Grit Building Store,5
